AvgSpotLen	BioSample	Experiment	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	treatment	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	SRA_Study	age	biomaterial_provider	cultivar	geo_loc_name	tissue
100	SAMN02950667	SRX668432	2014-08-06	1315	896	Manihot esculenta subsp. esculenta	2014-08-06	SRR1537519	SRS672914	mock_8hr	mock_8hr	RNA-Seq	PRJNA257332	Plant	UC BERKELEY	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	size fractionation	TRANSCRIPTOMIC	ILLUMINA	SRP045199	missing	Brian Staskawicz	60444	missing	leaf
200	SAMN02950667	SRX668432	2014-08-07	5757	3923	Manihot esculenta subsp. esculenta	2014-08-07	SRR1538456	SRS672914	mock_8hr	mock_8hr	RNA-Seq	PRJNA257332	Plant	UC BERKELEY	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	size fractionation	TRANSCRIPTOMIC	ILLUMINA	SRP045199	missing	Brian Staskawicz	60444	missing	leaf
200	SAMN02950667	SRX668432	2014-08-07	2605	1791	Manihot esculenta subsp. esculenta	2014-08-07	SRR1538457	SRS672914	mock_8hr	mock_8hr	RNA-Seq	PRJNA257332	Plant	UC BERKELEY	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	size fractionation	TRANSCRIPTOMIC	ILLUMINA	SRP045199	missing	Brian Staskawicz	60444	missing	leaf
200	SAMN02950668	SRX671513	2014-08-06	3371	2364	Manihot esculenta	2014-08-06	SRR1538484	SRS676055	Xam668_8hr	Xam668_8hr	RNA-Seq	PRJNA257332	Plant	UC BERKELEY	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	size fractionation	TRANSCRIPTOMIC	ILLUMINA	SRP045199	missing	Brian Staskawicz	60444	missing	leaf
200	SAMN02950668	SRX671513	2014-08-06	3473	2370	Manihot esculenta	2014-08-06	SRR1538485	SRS676055	Xam668_8hr	Xam668_8hr	RNA-Seq	PRJNA257332	Plant	UC BERKELEY	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	size fractionation	TRANSCRIPTOMIC	ILLUMINA	SRP045199	missing	Brian Staskawicz	60444	missing	leaf
200	SAMN02950668	SRX671513	2014-08-06	4096	2827	Manihot esculenta	2014-08-06	SRR1538486	SRS676055	Xam668_8hr	Xam668_8hr	RNA-Seq	PRJNA257332	Plant	UC BERKELEY	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	size fractionation	TRANSCRIPTOMIC	ILLUMINA	SRP045199	missing	Brian Staskawicz	60444	missing	leaf
200	SAMN02950669	SRX671514	2014-08-06	2988	2094	Manihot esculenta	2014-08-06	SRR1538487	SRS676056	X. euvesicatoria_8hr	Xe_8hr	RNA-Seq	PRJNA257332	Plant	UC BERKELEY	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	size fractionation	TRANSCRIPTOMIC	ILLUMINA	SRP045199	missing	Brian Staskawicz	60444	missing	leaf
200	SAMN02950669	SRX671514	2014-08-06	8290	5626	Manihot esculenta	2014-08-06	SRR1538488	SRS676056	X. euvesicatoria_8hr	Xe_8hr	RNA-Seq	PRJNA257332	Plant	UC BERKELEY	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	size fractionation	TRANSCRIPTOMIC	ILLUMINA	SRP045199	missing	Brian Staskawicz	60444	missing	leaf
200	SAMN02950669	SRX671514	2014-08-06	3136	2153	Manihot esculenta	2014-08-06	SRR1538489	SRS676056	X. euvesicatoria_8hr	Xe_8hr	RNA-Seq	PRJNA257332	Plant	UC BERKELEY	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	size fractionation	TRANSCRIPTOMIC	ILLUMINA	SRP045199	missing	Brian Staskawicz	60444	missing	leaf
200	SAMN02950670	SRX671515	2014-08-06	7308	4969	Manihot esculenta	2014-08-06	SRR1538490	SRS676057	X. euvesicatoria(TAL20_Xam668)_8hr	Xe(TAL20_Xam668)_8hr	RNA-Seq	PRJNA257332	Plant	UC BERKELEY	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	size fractionation	TRANSCRIPTOMIC	ILLUMINA	SRP045199	missing	Brian Staskawicz	60444	missing	leaf
